1878874,606981,1903073.3967459607
1878793,606962,1902993.1701255823
1864560,600760,1888170.3251865096
1930271,217837,1852293.7260190954
1930266,217838,1852289.3244743675
1649698,455947,1651430.3438066896
1649698,455947,1651430.3438066896
1614447,510626,1632470.3033149766
1581379,527084,1605855.3538497817
1604447,415883,1599147.2723551225
1562104,531710,1589082.8122853797
1583770,421726,1581377.9230640712
1443549,509812,1473157.9823378313
1438797,507294,1468095.6728982637
1438796,507294,1468094.741898433
1408563,431918,1420843.443225304
1408433,431880,1420712.7819791313
1408418,431877,1420698.056618393
1408386,431872,1420666.9973516806
1408168,431804,1420446.804487632
1408127,431789,1420404.831678186
1341101,461643,1365570.2654469945
1318169,466590,1345474.4163722023
1318143,466583,1345448.4361956231
1271269,426264,1291589.721140208
1287739,185661,1245941.3931701705
1202066,412643,1223709.4371209526
1194789,376334,1207731.8746105283
1024280,308029,1031675.8199238275
971670,371617,998812.5788486165
971614,371592,998754.1064974526
971575,371564,998710.7007801344
961766,367388,988520.0977587091
961766,367388,988520.0977587091
990914,232749,981532.0304058403
990886,232742,981504.1882295996
990699,232707,981321.2203563513
929107,160616,905707.2957792592
879250,125083,850284.4411100468
877424,124780,848507.6387281249
876555,124650,847665.650799869
875475,124502,846622.6597276636
566331,1206582,833067.6129940222
566331,1206582,833067.6129940222
826984,236437,829847.9680737463
823150,235131,825947.5032427295
823150,235131,825947.5032427295
823144,235131,825941.917243745
823138,235131,825936.3312447605
823131,235131,825929.8142459453
823076,235118,825875.3143477204
822973,235082,825770.2970058292
822922,235065,825718.5072892245
822005,234760,824787.4768445984
819427,185707,809954.6593379509
819419,185708,809947.4647937306
778576,319570,805850.555037283
772138,311174,797728.7747689199
780754,278683,797515.2815657787
780753,278683,797514.3505659479
779269,278125,795991.3192475919
802789,189704,795477.741493469
802675,189689,795367.8056963788
802661,189684,795353.50442662
802660,189683,795352.3199723635
776934,277432,793641.7907258049
764792,313368,791445.7290222147
764781,313361,791433.7138430966
764619,313274,791260.8413354816
764253,313125,790882.3306880024
764248,313123,790877.1687799973
797965,188654,790720.4711629894
764074,313048,790696.1657275215
797871,188632,790627.3811815343
763757,312906,790365.0482527285
792266,187421,785102.1938207082
806527,132863,784551.2158505934
788297,186570,781191.3657762262
787126,190157,781010.3059993457
784066,185800,777057.1455845693
783956,185779,776949.413060248
783956,185779,776949.413060248
782546,185501,775566.242968558
778095,184647,771205.91264238
769102,192862,764915.5592714701
769102,192860,764915.0523626187
768021,192584,763838.6881240953
765702,192016,761535.7374028105
737845,286745,759610.3594081957
758345,199350,756545.2064059733
758312,199339,756511.6954128762
758210,199302,756407.35561639
757861,199217,756060.893049277
757671,199169,755871.8372690027
757597,199146,755797.113829737
759835,190567,755706.3059330167
757363,199081,755562.7853316732
737377,269327,754759.9823008752
758243,190158,754120.4913423668
758243,190149,754118.2102525356
752765,188773,748669.4398899764
752728,188763,748632.4583519821
743805,189645,740548.6936656971
743802,189645,740545.9006662049
711336,230925,720782.6588534011
710825,230781,720270.4205025922
700687,227761,710066.5118529403
727109,126661,709041.1469444149
726834,126628,708776.7579949127
720077,143967,706880.6384254724
719966,143986,706782.1130783478
690917,235033,702813.7640901235
690914,235032,702810.7176362056
690880,235017,702775.261825575
690821,234996,702715.0102926217
696678,180613,694384.2642694213
700385,137267,686849.2451063736
700178,137138,686623.8325204964
702499,114858,683137.7185234566
701537,114625,682183.0418050961
671417,218965,680586.7616787371
661115,241543,676718.0954454552
666180,217414,675318.007750893
665744,217285,674879.3962037753
665640,217255,674774.9685886074
665635,217248,674768.5394084739
665588,217239,674722.5013265976
665573,217237,674708.0294202853
665568,217231,674701.8536945774
665508,217228,674645.2333414557
664857,217014,673984.9132045448
662838,221200,673166.1847721763
666530,198656,670889.5595747078
661754,216136,670873.4877439943
673422,161676,667933.2657464751
673421,161676,667932.3347466444
446941,981207,664793.2520132719
654408,214046,663504.6432376667
650445,218844,661031.1652428478
650180,216436,660174.1320306577
641499,152819,635968.1123013389
640430,150207,634310.8505223909
635708,152413,630473.7897846684
635700,152412,630466.0883315967
635648,152403,630415.3952505669
634999,151376,629550.8786652378
626838,165947,625646.0734831436
625161,165620,624001.9071697864
625133,165616,623974.8253568228
625133,165616,623974.8253568228
625069,165604,623912.1999145469
625014,165594,623858.4603795991
625014,165594,623858.4603795991
625002,165593,623847.0349272045
623170,168834,622962.8890309158
637642,104811,620209.4058860067
609817,193459,616772.5635234027
609724,193421,616676.3492709673
619631,151804,615351.7517605423
619489,151791,615216.2548770427
616982,159513,614839.4133764829
627390,116502,613627.9313118602
627390,116502,613627.9313118602
627333,116493,613572.5832316766
618157,109275,603200.2947401876
521961,449140,599782.1234063212
612232,108218,597416.219415078
601959,137176,595191.59141274
600674,138492,594328.8026544305
600666,138491,594321.1012013588
586657,166521,588383.0521243247
586657,166521,588383.0521243247
586621,166511,588347.0015861611
586602,166500,588326.5245906945
614254,42256,582580.3402459973
581002,133176,574666.8102570907
580817,133137,574484.6905658012
580212,132984,573882.6571410712
569270,172920,573817.6129371035
569268,172919,573815.4974830163
570357,153919,570013.7222107365
570269,153901,569927.2320459685
570168,153890,569830.4130643809
570156,153889,569818.9876119862
